word,reason,definition
MANUFACTORY,length_out_of_range,Pertaining to manufacturing.
WATERCOURSE,length_out_of_range,One of the holes in floor or other plates to permit water toflow through.
SICH,multi_sentence,Such. [Obs. or Colloq.] Spenser.
ESTER,too_long,"An ethereal salt, or compound ether, consisting of an organicradical united with the residue of any oxygen acid, organic orinorganic; thus the natural fats are esters of glycerin and the fattyacids, oleic, etc."
LENGTHY,too_long,"Having length; rather long or too long; prolix; not brief; --said chiefly of discourses, writings, and the like. ""Lengthyperiods."" Washington. ""Some lengthy additions."" Byron. ""These wouldbe details too lengthy."" Jefferson. ""To cut short lengthyexplanations."" Trench."
DINGY,semicolon_dictionary_dump,"Soiled; sullied; of a dark or dusky color; dark brown; dirty.""Scraps of dingy paper."" Macaulay."
EIGHT,semicolon_dictionary_dump,"An island in a river; an ait. [Obs.] ""Osiers on their eights.""Evelyn."
EVOLVE,semicolon_dictionary_dump,"To become open, disclosed, or developed; to pass through aprocess of evolution. Prior."
CONCH,too_long,"A name applied to various marine univalve shells; esp. to thoseof the genus Strombus, which are of large size. S. gigas is the largepink West Indian conch. The large king, queen, and cameo conchs areof the genus Cassis. See Cameo."
CERTIFICATION,length_out_of_range,The act of certifying.
HERBALIST,semicolon_dictionary_dump,"One skilled in the knowledge of plants; a collector of, ordealer in, herbs, especially medicinal herbs."
NIPPING,semicolon_dictionary_dump,"Biting; pinching; painful; destructive; as, a nipping frost; anipping wind."
JETTY,contains_answer_or_variant,"Made of jet, or like jet in color.The people... are of a jetty. Sir T. Browne."
MORO,multi_sentence,A small abscess or tumor having a resemblance to a mulberry.Dunglison.
STRATIGRAPHY,length_out_of_range,That branch of geology which treats of the arrangement andsuccession of strata.
MODERN,semicolon_dictionary_dump,A person of modern times; -- opposed to ancient. Pope.
PAMPHLETEER,length_out_of_range,A writer of pamphlets; a scribbler. Dryden. Macaulay.
RECLINED,semicolon_dictionary_dump,Falling or turned downward; reclinate.
NAKEDNESS,semicolon_dictionary_dump,The privy parts; the genitals.Ham... saw the nakedness of his father. Gen. ix. 22.
