word,reason,definition
YELLOW,too_long,"Being of a bright saffronlike color; of the color of gold orbrass; having the hue of that part of the rainbow, or of the solarspectrum, which is between the orange and the green.Her yellow hair was browded [braided] in a tress. Chaucer.A sweaty reaper from his tillage brought First fruits, the green earand the yellow sheaf. Milton.The line of yellow light dies fast away. Keble.Yellow atrophy (Med.), a fatal affection of the liver, in which itundergoes fatty degeneration, and becomes rapidly smaller and of adeep yellow tinge. The marked symptoms are black vomit, delirium,convulsions, coma, and jaundice.-- Yellow bark, calisaya bark.-- Yellow bass (Zoöl.), a North American fresh-water bass (Moroneinterrupta) native of the lower parts of the Mississippi and itstributaries. It is yellow, with several more or less broken blackstripes or bars. Called also barfish.-- Yellow berry. (Bot.) Same as Persian berry, under Persian.-- Yellow boy, a gold coin, as a guinea. [Slang] Arbuthnot.-- Yellow brier. (Bot.) See under Brier.-- Yellow bugle (Bot.), a European labiate plant (Ajuga Chamæpitys).-- Yellow bunting (Zoöl.), the European yellow-hammer.-- Yellow cat (Zoöl.), a yellow catfish; especially, the bashaw.-- Yellow copperas (Min.), a hydrous sulphate of iron; -- calledalso copiapite.-- Yellow copper ore, a sulphide of copper and iron; copper pyrites.See Chalcopyrite.-- Yellow cress (Bot.), a yellow-flowered, cruciferous plant(Barbarea præcox), sometimes grown as a salad plant.-- Yellow dock. (Bot.) See the Note under Dock.-- Yellow earth, a yellowish clay, colored by iron, sometimes usedas a yellow pigment.-- Yellow fever (Med.), a malignant, contagious, febrile disease ofwarm climates, attended with jaundice, producing a yellow color ofthe skin, and with the black vomit. See Black vomit, in theVocabulary.-- Yellow flag, the quarantine flag. See under Quarantine, and 3dFlag.-- Yellow jack. (a) The yellow fever. See under 2d Jack. (b) Thequarantine flag. See under Quarantine.-- Yellow jacket (Zoöl.), any one of several species of Americansocial wasps of the genus Vespa, in which the color of the body ispartly bright yellow. These wasps are noted for their irritability,and for their painful stings.-- Yellow lead ore (Min.), wulfenite.-- Yellow lemur (Zoöl.), the kinkajou.-- Yellow macauco (Zoöl.), the kinkajou.-- Yellow mackerel (Zoöl.), the jurel.-- Yellow metal. Same as Muntz metal, under Metal.-- Yellow ocher (Min.), an impure, earthy variety of brown iron ore,which is used as a pigment.-- Yellow oxeye (Bot.), a yellow-flowered plant (Chrysanthemumsegetum) closely related to the oxeye daisy.-- Yellow perch (Zoöl.), the common American perch. See Perch.-- Yellow pike (Zoöl.), the wall-eye.-- Yellow pine (Bot.), any of several kinds of pine; also, theiryellowish and generally durable timber. Among the most common arevaluable species are Pinus mitis and P. palustris of the Eastern andSouthern States, and P. ponderosa and P. Arizonica of the RockyMountains and Pacific States.-- Yellow plover (Zoöl.), the golden plover.-- Yellow precipitate (Med. Chem.), an oxide of mercury which isthrown down as an amorphous yellow powder on adding corrosivesublimate to limewater.-- Yellow puccoon. (Bot.) Same as Orangeroot.-- Yellow rail (Zoöl.), a small American rail (PorzanaNoveboracensis) in which the lower parts are dull yellow, darkest onthe breast. The back is streaked with brownish yellow and with black,and spotted with white. Called also yellow crake.-- Yellow rattle, Yellow rocket. (Bot.) See under Rattle, andRocket.-- Yellow Sally (Zoöl.), a greenish or yellowish European stone flyof the genus Chloroperla; -- so called by anglers.-- Yellow sculpin (Zoöl.), the dragonet.-- Yellow snake (Zoöl.), a West Indian boa (Chilobothrus inornatus)common in Jamaica. It becomes from eight to ten long. The body isyellowish or yellowish green, mixed with black, and anteriorly withblack lines.-- Yellow spot. (a) (Anat.) A small yellowish spot with a centralpit, the fovea centralis, in the center of the retina where vision ismost accurate. See Eye. (b) (Zoöl.) A small American butterfly(Polites Peckius) of the Skipper family. Its wings are brownish, witha large, irregular, bright yellow spot on each of the hind wings,most conspicuous beneath. Called also Peck's skipper. See Illust.under Skipper, n., 5.-- Yellow tit (Zoöl.), any one of several species of crested titmiceof the genus Machlolophus, native of India. The predominating colorsof the plumage are yellow and green.-- Yellow viper (Zoöl.), the fer-de-lance.-- Yellow warbler (Zoöl.), any one of several species of Americanwarblers of the genus Dendroica in which the predominant color isyellow, especially D. æstiva, which is a very abundant and familiarspecies; -- called also garden warbler, golden warbler, summeryellowbird, summer warbler, and yellow-poll warbler.-- Yellow wash (Pharm.), yellow oxide of mercury suspended in water,-- a mixture prepared by adding corrosive sublimate to limewater.-- Yellow wren (Zoöl.) (a) The European willow warbler. (b) TheEuropean wood warbler."
ICILY,semicolon_dictionary_dump,"In an icy manner; coldly.Faultily faultless, icily regular, splendidly null, Dead perfection,no more. Tennyson."
ANTE,contains_answer_or_variant,"Each player's stake, which is put into the pool before (ante)the game begins."
BIPOLARITY,too_short_or_not_a_definition,Bipolar quality.
PIG,length_out_of_range,A piggin. [Written also pigg.]
EVERYTHING,semicolon_dictionary_dump,"Whatever pertains to the subject under consideration; allthings.More wise, more learned, more just, more everything. Pope."
COPRA,multi_sentence,"The dried meat of the cocoanut, from which cocoanut oil isexpressed. [Written also cobra, copperah, coppra.]"
ACUTELY,semicolon_dictionary_dump,In an acute manner; sharply; keenly; with nice discrimination.
EXPLORING,contains_answer_or_variant,"Employed in, or designed for, exploration. ""Exploring parties.""Bancroft."
NARRATE,too_long,"To tell, rehearse, or recite, as a story; to relate theparticulars of; to go through with in detail, as an incident ortransaction; to give an account of."
